BE/eV	PE: 1486.61 eV
435.8599999999997	10580.7
434.8599999999997	10577.4
433.8599999999997	10539.9
432.8599999999997	10658.1
431.8599999999997	10661.3
430.8599999999997	10766.7
429.8599999999997	10682.0
428.8599999999997	10924.1
427.8599999999997	11041.3
426.8599999999997	10873.8
425.8599999999997	11027.2
424.8599999999997	10806.4
423.8599999999997	10405.5
422.8599999999997	10669.8
421.8599999999997	10481.8
420.8599999999997	10690.7
419.8599999999997	10647.8
418.8599999999997	10340.2
417.8599999999997	10336.8
416.8599999999997	10368.5
415.8599999999997	10312.3
414.8599999999997	10073.2
413.8599999999997	10323.4
412.8599999999997	10279.2
411.8599999999997	10297.3
410.8599999999997	10155.0
409.8599999999997	10456.0
408.8599999999997	10559.7
407.8599999999997	10431.4
406.8599999999997	10467.1
405.8599999999997	10375.9
404.8599999999997	10541.6
403.8599999999997	10708.5
402.8599999999997	10825.3
401.8599999999997	10718.3
400.8599999999997	10581.0
399.8599999999997	10767.5
